RAM,Front Camera,Back Camera,Battery Capacity,Screen Size,Launched Price (USA),ROM,Company_Apple,Company_Honor,Company_Oppo,Company_Other,Company_Samsung,Company_Vivo,Processor_Avg_Price_Scaled,Cluster,PhanKhuc
6.0,8.0,12.2,3.7,6.3,899.0,0.0625,0,0,0,1,0,0,7.004285714285714,2,thap
6.0,8.0,12.2,3.14,5.8,349.0,0.125,0,0,0,1,0,0,3.49,2,thap
6.0,8.0,12.2,3.885,6.2,499.0,0.125,0,0,0,1,0,0,4.171818181818182,2,thap
8.0,8.0,12.2,4.08,6.0,699.0,0.125,0,0,0,1,0,0,4.171818181818182,2,thap
6.0,8.0,12.2,4.68,6.34,449.0,0.125,0,0,0,1,0,0,4.171818181818182,2,thap
8.0,8.0,50.0,4.614,6.4,699.0,0.125,0,0,0,1,0,0,6.823333333333334,2,thap
12.0,11.1,50.0,5.003,6.71,899.0,0.25,0,0,0,1,0,0,6.823333333333334,0,can cao cap
6.0,8.0,12.2,4.41,6.1,449.0,0.125,0,0,0,1,0,0,6.823333333333334,2,thap
8.0,10.8,50.0,4.355,6.3,599.0,0.125,0,0,0,1,0,0,6.656666666666666,2,thap
12.0,10.8,50.0,5.0,6.7,899.0,0.25,0,0,0,1,0,0,6.656666666666666,0,can cao cap
8.0,10.8,64.0,4.385,6.1,499.0,0.125,0,0,0,1,0,0,6.656666666666666,2,thap
8.0,10.5,50.0,4.575,6.2,699.0,0.125,0,0,0,1,0,0,7.49,2,thap
12.0,10.5,50.0,5.05,6.7,999.0,0.25,0,0,0,1,0,0,7.49,0,can cao cap
8.0,10.5,64.0,4.385,6.1,549.0,0.125,0,0,0,1,0,0,7.49,2,thap
8.0,10.8,50.0,4.6,6.3,799.0,0.125,0,0,0,1,0,0,12.49,0,can cao cap
12.0,10.8,50.0,5.05,6.7,1099.0,0.25,0,0,0,1,0,0,12.49,0,can cao cap
16.0,10.8,50.0,5.25,6.8,1299.0,0.5,0,0,0,1,0,0,12.49,0,can cao cap
16.0,10.8,50.0,5.5,7.6,1799.0,0.5,0,0,0,1,0,0,12.49,0,can cao cap
4.0,8.0,13.0,5.0,6.6,129.0,0.0625,0,0,0,1,0,0,1.34,2,thap
8.0,13.0,50.0,8.0,11.0,349.0,0.25,0,0,0,1,0,0,3.49,1,trung
3.0,5.0,8.0,5.0,6.52,99.0,0.0625,0,0,0,1,0,0,1.2525,2,thap
6.0,12.0,50.0,7.5,10.9,299.0,0.125,0,0,0,1,0,0,2.15,1,trung
8.0,32.0,50.0,5.2,6.8,499.0,0.25,0,0,0,1,0,0,3.192272727272728,2,thap
6.0,16.0,50.0,5.0,6.6,199.0,0.125,0,0,0,1,0,0,2.08375,2,thap
6.0,16.0,50.0,5.0,6.6,229.0,0.125,0,0,0,1,0,0,2.29,2,thap
8.0,32.0,50.0,5.2,6.8,269.0,0.25,0,0,0,1,0,0,2.853809523809524,2,thap
4.0,16.0,50.0,5.0,6.6,179.0,0.125,0,0,0,1,0,0,1.82,2,thap
12.0,32.0,64.0,5.5,7.85,1799.0,0.5,0,0,0,1,0,0,17.99,0,can cao cap
8.0,32.0,50.0,4.3,6.9,999.0,0.25,0,0,0,1,0,0,6.99,0,can cao cap
8.0,16.0,50.0,6.0,6.8,349.0,0.25,0,0,0,1,0,0,3.192272727272728,2,thap
4.0,16.0,50.0,5.0,6.6,149.0,0.125,0,0,0,1,0,0,1.82,2,thap
3.0,5.0,8.0,5.0,6.52,99.0,0.0625,0,0,0,1,0,0,1.2525,2,thap
12.0,50.0,108.0,5.2,6.9,1099.0,0.5,0,0,0,1,0,0,8.01909090909091,0,can cao cap
4.0,16.0,50.0,5.0,6.6,179.0,0.125,0,0,0,1,0,0,1.82,2,thap
8.0,32.0,50.0,5.2,6.8,329.0,0.25,0,0,0,1,0,0,3.192272727272728,2,thap
8.0,16.0,50.0,6.0,6.8,299.0,0.25,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,50.0,108.0,5.2,6.9,1199.0,0.5,0,0,0,1,0,0,8.01909090909091,0,can cao cap
12.0,50.0,64.0,5.2,6.8,899.0,0.5,0,0,0,1,0,0,5.934285714285714,0,can cao cap
8.0,32.0,50.0,5.0,6.7,499.0,0.25,0,0,0,1,0,0,3.192272727272728,2,thap
6.0,32.0,50.0,5.0,6.7,349.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,32.0,64.0,6.0,6.9,1099.0,0.5,0,0,0,1,0,0,4.364,0,can cao cap
8.0,32.0,50.0,5.2,6.8,269.0,0.25,0,0,0,1,0,0,2.853809523809524,2,thap
6.0,16.0,50.0,5.0,6.6,199.0,0.125,0,0,0,1,0,0,1.82,2,thap
4.0,16.0,50.0,5.0,6.6,179.0,0.125,0,0,0,1,0,0,1.82,2,thap
4.0,16.0,50.0,5.0,6.6,149.0,0.125,0,0,0,1,0,0,1.82,2,thap
3.0,5.0,8.0,5.0,6.52,99.0,0.0625,0,0,0,1,0,0,1.2525,2,thap
12.0,50.0,108.0,5.2,6.9,1099.0,0.5,0,0,0,1,0,0,8.01909090909091,0,can cao cap
12.0,50.0,108.0,5.2,6.9,899.0,0.25,0,0,0,1,0,0,3.192272727272728,0,can cao cap
8.0,32.0,50.0,5.0,6.7,449.0,0.25,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,50.0,108.0,5.2,6.8,1049.0,0.5,0,0,0,1,0,0,5.934285714285714,0,can cao cap
8.0,32.0,50.0,5.0,6.7,499.0,0.25,0,0,0,1,0,0,3.192272727272728,2,thap
6.0,32.0,50.0,5.0,6.7,349.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
6.0,32.0,50.0,5.0,6.7,349.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
8.0,32.0,50.0,6.0,6.9,699.0,0.5,0,0,0,1,0,0,4.37,0,can cao cap
8.0,16.0,50.0,6.0,6.8,329.0,0.25,0,0,0,1,0,0,2.853809523809524,2,thap
6.0,8.0,13.0,7.0,10.1,299.0,0.125,0,0,0,1,0,0,2.853809523809524,1,trung
8.0,16.0,50.0,8.0,10.4,399.0,0.125,0,0,0,1,0,0,3.192272727272728,1,trung
4.0,5.0,8.0,6.0,9.7,219.0,0.125,0,0,0,1,0,0,1.7366666666666666,2,thap
12.0,32.0,50.0,9.0,11.0,549.0,0.125,0,0,0,1,0,0,8.01909090909091,1,trung
6.0,8.0,50.0,5.0,6.78,219.0,0.125,0,0,0,1,0,0,1.82,2,thap
4.0,8.0,50.0,5.0,6.6,179.0,0.125,0,0,0,1,0,0,1.7366666666666666,2,thap
8.0,16.0,50.0,5.2,6.78,289.0,0.125,0,0,0,1,0,0,3.192272727272728,2,thap
8.0,16.0,50.0,5.0,6.8,269.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,32.0,108.0,5.3,6.9,379.0,0.125,0,0,0,1,0,0,8.01909090909091,0,can cao cap
12.0,32.0,108.0,5.5,6.9,449.0,0.125,0,0,0,1,0,0,5.934285714285714,0,can cao cap
8.0,32.0,108.0,5.2,6.8,349.0,0.125,0,0,0,1,0,0,3.0380000000000003,2,thap
8.0,32.0,50.0,5.0,6.78,279.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
8.0,32.0,108.0,5.2,6.8,319.0,0.125,0,0,0,1,0,0,4.364,2,thap
12.0,32.0,108.0,5.3,6.8,399.0,0.125,0,0,0,1,0,0,6.444545454545455,0,can cao cap
12.0,32.0,108.0,5.5,6.9,449.0,0.125,0,0,0,1,0,0,8.01909090909091,0,can cao cap
8.0,32.0,50.0,5.0,6.78,199.0,0.125,0,0,0,1,0,0,1.9218181818181816,2,thap
4.0,8.0,13.0,5.0,6.6,159.0,0.125,0,0,0,1,0,0,1.7366666666666666,2,thap
8.0,32.0,108.0,5.0,6.78,229.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,50.0,108.0,5.0,6.78,349.0,0.125,0,0,0,1,0,0,5.934285714285714,0,can cao cap
12.0,50.0,108.0,5.0,6.78,379.0,0.125,0,0,0,1,0,0,5.934285714285714,0,can cao cap
8.0,32.0,108.0,4.5,6.7,399.0,0.125,0,0,0,1,0,0,5.365,0,can cao cap
8.0,32.0,108.0,5.0,6.78,279.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
12.0,32.0,108.0,5.0,6.78,329.0,0.125,0,0,0,1,0,0,4.364,0,can cao cap
8.0,8.0,50.0,5.0,6.78,199.0,0.125,0,0,0,1,0,0,1.9218181818181816,2,thap
4.0,8.0,13.0,5.0,6.6,159.0,0.125,0,0,0,1,0,0,1.7366666666666666,2,thap
4.0,8.0,13.0,5.0,6.6,159.0,0.125,0,0,0,1,0,0,1.7366666666666666,2,thap
4.0,8.0,16.0,6.0,6.82,179.0,0.125,0,0,0,1,0,0,1.89,2,thap
8.0,8.0,50.0,5.0,6.78,239.0,0.125,0,0,0,1,0,0,3.192272727272728,2,thap
8.0,50.0,108.0,5.0,6.78,349.0,0.25,0,0,0,1,0,0,3.923333333333333,0,can cao cap
12.0,50.0,108.0,5.0,6.78,379.0,0.25,0,0,0,1,0,0,3.923333333333333,0,can cao cap
8.0,32.0,108.0,5.0,6.67,399.0,0.25,0,0,0,1,0,0,6.99,0,can cao cap
6.0,8.0,13.0,5.0,6.82,179.0,0.125,0,0,0,1,0,0,1.82,2,thap
4.0,8.0,13.0,6.0,6.82,159.0,0.125,0,0,0,1,0,0,1.89,2,thap
8.0,8.0,50.0,5.0,6.6,199.0,0.125,0,0,0,1,0,0,1.7966666666666666,2,thap
4.0,8.0,13.0,5.0,6.6,139.0,0.0625,0,0,0,1,0,0,1.34,2,thap
6.0,8.0,50.0,5.0,6.82,199.0,0.125,0,0,0,1,0,0,1.82,2,thap
4.0,8.0,13.0,6.0,6.82,159.0,0.125,0,0,0,1,0,0,1.89,2,thap
8.0,8.0,50.0,5.0,6.78,219.0,0.125,0,0,0,1,0,0,2.715,2,thap
6.0,8.0,50.0,5.0,6.6,239.0,0.125,0,0,0,1,0,0,3.192272727272728,2,thap
4.0,8.0,13.0,5.0,6.6,139.0,0.0625,0,0,0,1,0,0,1.515,2,thap
4.0,8.0,48.0,5.0,6.82,149.0,0.125,0,0,0,1,0,0,1.5566666666666666,2,thap
6.0,8.0,48.0,6.0,6.82,169.0,0.125,0,0,0,1,0,0,1.82,2,thap
6.0,8.0,48.0,6.0,6.82,179.0,0.125,0,0,0,1,0,0,1.82,2,thap
3.0,8.0,13.0,5.0,6.6,109.0,0.0625,0,0,0,1,0,0,1.09,2,thap
4.0,8.0,13.0,6.0,6.82,139.0,0.0625,0,0,0,1,0,0,1.515,2,thap
4.0,8.0,13.0,5.2,6.6,159.0,0.125,0,0,0,1,0,0,1.5566666666666666,2,thap
4.0,8.0,13.0,6.0,6.82,169.0,0.125,0,0,0,1,0,0,1.69,2,thap
6.0,8.0,50.0,5.0,6.78,189.0,0.125,0,0,0,1,0,0,1.9218181818181816,2,thap
6.0,8.0,48.0,5.2,6.78,199.0,0.125,0,0,0,1,0,0,2.15,2,thap
3.0,8.0,13.0,5.0,6.6,109.0,0.0625,0,0,0,1,0,0,1.09,2,thap
6.0,16.0,64.0,5.2,6.95,229.0,0.125,0,0,0,1,0,0,2.15,2,thap
8.0,16.0,48.0,4.5,6.85,249.0,0.125,0,0,0,1,0,0,2.64,2,thap
4.0,8.0,16.0,5.2,6.78,159.0,0.125,0,0,0,1,0,0,1.5566666666666666,2,thap
8.0,48.0,64.0,4.5,6.85,279.0,0.125,0,0,0,1,0,0,2.64,2,thap
3.0,8.0,13.0,5.0,6.6,99.0,0.0625,0,0,0,1,0,0,0.99,2,thap
4.0,8.0,48.0,3.75,6.5,219.0,0.125,0,1,0,0,0,0,2.19,2,thap
8.0,32.0,40.0,4.0,6.53,449.0,0.125,0,1,0,0,0,0,4.49,2,thap
8.0,32.0,50.0,4.0,6.57,599.0,0.125,0,1,0,0,0,0,6.156666666666666,0,can cao cap
12.0,32.0,50.0,4.0,6.57,699.0,0.125,0,1,0,0,0,0,6.156666666666666,0,can cao cap
6.0,16.0,64.0,4.0,6.5,349.0,0.125,0,1,0,0,0,0,3.34,2,thap
6.0,16.0,40.0,4.3,6.63,319.0,0.125,0,1,0,0,0,0,3.34,2,thap
8.0,8.0,48.0,5.0,7.09,379.0,0.125,0,1,0,0,0,0,3.756666666666667,2,thap
6.0,16.0,64.0,4.3,6.81,349.0,0.125,0,1,0,0,0,0,3.756666666666667,2,thap
8.0,32.0,40.0,4.2,6.57,549.0,0.125,0,1,0,0,0,0,6.156666666666666,0,can cao cap
4.0,8.0,48.0,5.0,6.67,229.0,0.125,0,1,0,0,0,0,2.29,2,thap
8.0,16.0,50.0,4.0,6.72,599.0,0.125,0,1,0,0,0,0,5.99,2,thap
8.0,32.0,108.0,4.3,6.57,549.0,0.125,0,1,0,0,0,0,5.365,0,can cao cap
8.0,32.0,108.0,4.0,6.72,649.0,0.125,0,1,0,0,0,0,5.365,0,can cao cap
8.0,16.0,108.0,4.0,6.78,449.0,0.125,0,1,0,0,0,0,4.37,2,thap
6.0,16.0,64.0,4.3,6.67,379.0,0.125,0,1,0,0,0,0,4.37,2,thap
6.0,16.0,64.0,4.0,6.6,299.0,0.125,0,1,0,0,0,0,2.297333333333333,2,thap
8.0,16.0,64.0,3.8,6.53,319.0,0.125,0,1,0,0,0,0,3.19,2,thap
6.0,8.0,13.0,5.0,6.5,219.0,0.125,0,1,0,0,0,0,1.89,2,thap
8.0,13.0,50.0,4.6,6.76,899.0,0.125,0,1,0,0,0,0,8.99,0,can cao cap
8.0,13.0,50.0,4.6,6.76,1099.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
12.0,13.0,50.0,4.6,6.76,1299.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
8.0,32.0,108.0,4.8,6.67,549.0,0.125,0,1,0,0,0,0,5.365,0,can cao cap
8.0,50.0,108.0,4.8,6.78,649.0,0.125,0,1,0,0,0,0,5.99,0,can cao cap
8.0,16.0,64.0,4.3,6.67,449.0,0.125,0,1,0,0,0,0,4.37,2,thap
6.0,16.0,48.0,4.8,6.81,379.0,0.125,0,1,0,0,0,0,2.67875,2,thap
6.0,16.0,48.0,4.0,6.7,299.0,0.125,0,1,0,0,0,0,3.192272727272728,2,thap
8.0,8.0,64.0,5.0,7.09,499.0,0.125,0,1,0,0,0,0,4.37,2,thap
6.0,5.0,13.0,5.0,6.52,179.0,0.125,0,1,0,0,0,0,1.79,2,thap
6.0,5.0,13.0,5.0,6.74,229.0,0.125,0,1,0,0,0,0,2.297333333333333,2,thap
8.0,12.0,50.0,4.8,6.81,899.0,0.125,0,1,0,0,0,0,12.74,0,can cao cap
8.0,12.0,50.0,4.6,6.81,1099.0,0.125,0,1,0,0,0,0,12.74,0,can cao cap
12.0,12.0,50.0,4.6,6.81,1299.0,0.125,0,1,0,0,0,0,12.74,0,can cao cap
12.0,42.0,50.0,4.75,7.9,1799.0,0.125,0,1,0,0,0,0,12.74,0,can cao cap
8.0,32.0,54.0,4.8,6.67,549.0,0.125,0,1,0,0,0,0,5.99,0,can cao cap
8.0,50.0,54.0,4.5,6.78,699.0,0.125,0,1,0,0,0,0,6.99,0,can cao cap
12.0,50.0,54.0,4.5,6.78,799.0,0.125,0,1,0,0,0,0,6.444545454545455,0,can cao cap
6.0,8.0,50.0,5.1,6.67,299.0,0.125,0,1,0,0,0,0,2.67875,2,thap
6.0,8.0,50.0,4.0,6.7,279.0,0.125,0,1,0,0,0,0,2.297333333333333,2,thap
4.0,5.0,13.0,5.2,6.74,159.0,0.125,0,1,0,0,0,0,1.89,2,thap
6.0,5.0,13.0,5.2,6.74,199.0,0.125,0,1,0,0,0,0,2.29,2,thap
8.0,12.0,50.0,5.1,6.81,999.0,0.125,0,1,0,0,0,0,11.5425,0,can cao cap
12.0,12.0,50.0,5.1,6.81,1199.0,0.125,0,1,0,0,0,0,11.5425,0,can cao cap
16.0,12.0,50.0,5.45,6.81,1399.0,0.125,0,1,0,0,0,0,11.5425,0,can cao cap
12.0,16.0,50.0,5.0,7.9,1699.0,0.125,0,1,0,0,0,0,9.99,0,can cao cap
8.0,32.0,160.0,4.8,6.67,549.0,0.125,0,1,0,0,0,0,3.69,0,can cao cap
12.0,50.0,160.0,4.8,6.78,799.0,0.125,0,1,0,0,0,0,9.99,0,can cao cap
8.0,32.0,64.0,4.6,6.67,399.0,0.125,0,1,0,0,0,0,4.37,0,can cao cap
6.0,8.0,108.0,5.8,6.78,299.0,0.125,0,1,0,0,0,0,3.3233333333333333,2,thap
6.0,8.0,100.0,4.5,6.7,249.0,0.125,0,1,0,0,0,0,2.29,2,thap
4.0,5.0,13.0,5.0,6.52,149.0,0.125,0,1,0,0,0,0,1.49,2,thap
6.0,5.0,50.0,5.2,6.74,189.0,0.125,0,1,0,0,0,0,2.08375,2,thap
8.0,12.0,50.0,5.2,6.81,1099.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
12.0,12.0,50.0,5.5,6.81,1299.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
16.0,12.0,50.0,5.55,6.81,1499.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
12.0,16.0,50.0,5.0,7.92,1899.0,0.125,0,1,0,0,0,0,11.5425,0,can cao cap
12.0,50.0,200.0,5.0,6.7,599.0,0.125,0,1,0,0,0,0,5.99,0,can cao cap
12.0,50.0,200.0,5.0,6.78,699.0,0.125,0,1,0,0,0,0,9.99,0,can cao cap
8.0,32.0,64.0,4.6,6.67,399.0,0.125,0,1,0,0,0,0,4.37,0,can cao cap
6.0,8.0,108.0,5.8,6.78,299.0,0.125,0,1,0,0,0,0,3.3233333333333333,2,thap
6.0,8.0,100.0,4.5,6.7,249.0,0.125,0,1,0,0,0,0,2.29,2,thap
4.0,5.0,13.0,5.0,6.52,149.0,0.125,0,1,0,0,0,0,1.49,2,thap
6.0,5.0,50.0,5.2,6.74,189.0,0.125,0,1,0,0,0,0,2.08375,2,thap
8.0,12.0,50.0,5.2,6.81,1099.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
12.0,12.0,50.0,5.5,6.81,1299.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
16.0,12.0,50.0,5.55,6.81,1499.0,0.125,0,1,0,0,0,0,11.99,0,can cao cap
12.0,16.0,50.0,5.0,7.92,1899.0,0.125,0,1,0,0,0,0,11.5425,0,can cao cap
4.0,2.0,5.0,5.1,10.1,199.0,0.125,0,1,0,0,0,0,1.99,2,thap
3.0,2.0,5.0,5.1,9.7,159.0,0.125,0,1,0,0,0,0,1.59,2,thap
4.0,2.0,5.0,5.1,10.1,229.0,0.125,0,1,0,0,0,0,2.15,2,thap
6.0,8.0,13.0,7.25,10.4,399.0,0.125,0,1,0,0,0,0,3.756666666666667,1,trung
8.0,8.0,13.0,7.25,11.0,499.0,0.125,0,1,0,0,0,0,4.99,1,trung
6.0,5.0,5.0,7.25,12.0,299.0,0.125,0,1,0,0,0,0,2.334,1,trung
4.0,2.0,5.0,5.1,10.1,189.0,0.125,0,1,0,0,0,0,2.15,2,thap
3.0,2.0,5.0,5.0,9.7,149.0,0.125,0,1,0,0,0,0,1.4233333333333331,2,thap
6.0,5.0,13.0,7.25,11.0,449.0,0.125,0,1,0,0,0,0,3.923333333333333,1,trung
8.0,8.0,13.0,8.5,12.1,649.0,0.125,0,1,0,0,0,0,6.444545454545455,1,trung
8.0,8.0,13.0,8.3,12.1,399.0,0.125,0,1,0,0,0,0,3.3233333333333333,1,trung
12.0,8.0,13.0,9.0,12.6,499.0,0.125,0,1,0,0,0,0,4.364,1,trung
6.0,5.0,8.0,7.25,11.5,299.0,0.125,0,1,0,0,0,0,3.49,1,trung
4.0,2.0,5.0,5.1,10.1,189.0,0.125,0,1,0,0,0,0,2.15,2,thap
12.0,8.0,13.0,10.0,13.0,799.0,0.125,0,1,0,0,0,0,9.99,1,trung
16.0,12.0,16.0,10.5,13.2,899.0,0.125,0,1,0,0,0,0,11.5425,1,trung
4.0,2.0,5.0,5.0,9.7,149.0,0.125,0,1,0,0,0,0,1.4233333333333331,2,thap
3.0,2.0,5.0,5.1,9.7,129.0,0.125,0,1,0,0,0,0,1.4233333333333331,2,thap
8.0,8.0,13.0,8.0,11.6,399.0,0.125,0,1,0,0,0,0,3.463333333333333,1,trung
8.0,8.0,13.0,8.5,12.1,649.0,0.125,0,1,0,0,0,0,6.444545454545455,1,trung
12.0,12.0,16.0,10.5,13.5,999.0,0.125,0,1,0,0,0,0,11.99,1,trung
6.0,5.0,8.0,8.85,12.1,399.0,0.125,0,1,0,0,0,0,3.49,1,trung
8.0,8.0,13.0,9.0,12.6,499.0,0.125,0,1,0,0,0,0,3.463333333333333,1,trung
12.0,12.0,16.0,10.5,13.0,799.0,0.125,0,1,0,0,0,0,11.99,1,trung
8.0,8.0,13.0,8.5,12.1,649.0,0.125,0,1,0,0,0,0,6.444545454545455,1,trung
6.0,20.0,64.0,4.7,6.67,499.0,0.125,0,0,0,1,0,0,6.934444444444445,2,thap
4.0,16.0,48.0,5.0,6.67,199.0,0.0625,0,0,0,1,0,0,1.99,2,thap
6.0,20.0,64.0,5.16,6.67,229.0,0.125,0,0,0,1,0,0,2.29,2,thap
4.0,8.0,48.0,6.0,6.53,149.0,0.0625,0,0,0,1,0,0,2.315,2,thap
6.0,20.0,48.0,4.52,6.67,349.0,0.125,0,0,0,1,0,0,4.3,2,thap
6.0,20.0,48.0,5.16,6.67,249.0,0.125,0,0,0,1,0,0,2.49,2,thap
4.0,8.0,48.0,5.0,6.5,199.0,0.0625,0,0,0,1,0,0,2.297333333333333,2,thap
6.0,16.0,64.0,5.065,6.67,399.0,0.125,0,0,0,1,0,0,4.334444444444444,2,thap
6.0,16.0,64.0,5.0,6.6,279.0,0.125,0,0,0,1,0,0,2.79,2,thap
4.0,16.0,50.0,5.0,6.6,219.0,0.125,0,0,0,1,0,0,3.192272727272728,2,thap
6.0,20.0,64.0,4.5,6.67,349.0,0.125,0,0,0,1,0,0,4.3,2,thap
8.0,20.0,64.0,4.7,6.67,499.0,0.125,0,0,0,1,0,0,10.08375,0,can cao cap
6.0,16.0,108.0,5.0,6.67,299.0,0.125,0,0,0,1,0,0,3.7,2,thap
6.0,16.0,64.0,5.0,6.43,219.0,0.125,0,0,0,1,0,0,2.715,2,thap
4.0,5.0,50.0,5.0,6.58,199.0,0.125,0,0,0,1,0,0,2.853809523809524,2,thap
4.0,13.0,64.0,5.0,6.43,229.0,0.125,0,0,0,1,0,0,2.29,2,thap
6.0,16.0,64.0,5.0,6.67,349.0,0.125,0,0,0,1,0,0,3.49,2,thap
8.0,20.0,64.0,5.16,6.67,499.0,0.25,0,0,0,1,0,0,7.823333333333334,0,can cao cap
6.0,13.0,48.0,5.0,6.67,279.0,0.125,0,0,0,1,0,0,3.7,2,thap
6.0,16.0,108.0,5.0,6.67,329.0,0.125,0,0,0,1,0,0,5.1525,2,thap
4.0,8.0,50.0,5.0,6.58,199.0,0.0625,0,0,0,1,0,0,1.9218181818181816,2,thap
6.0,8.0,50.0,5.0,6.79,219.0,0.125,0,0,0,1,0,0,2.19,2,thap
6.0,16.0,64.0,5.0,6.67,349.0,0.125,0,0,0,1,0,0,4.364,2,thap
8.0,20.0,108.0,5.0,6.67,399.0,0.25,0,0,0,1,0,0,3.99,2,thap
6.0,20.0,64.0,5.0,6.67,449.0,0.125,0,0,0,1,0,0,10.506666666666668,2,thap
8.0,20.0,108.0,5.16,6.67,549.0,0.25,0,0,0,1,0,0,5.49,0,can cao cap
4.0,5.0,50.0,5.0,6.5,149.0,0.0625,0,0,0,1,0,0,1.82,2,thap
6.0,16.0,64.0,5.0,6.67,329.0,0.125,0,0,0,1,0,0,5.934285714285714,2,thap
8.0,20.0,108.0,6.0,6.67,399.0,0.25,0,0,0,1,0,0,3.99,2,thap
6.0,8.0,50.0,5.11,6.67,229.0,0.125,0,0,0,1,0,0,2.73,2,thap
8.0,8.0,8.0,10.0,12.1,280.0,0.125,0,0,0,1,0,0,4.133333333333333,1,trung
8.0,8.0,8.0,10.0,12.1,300.0,0.25,0,0,0,1,0,0,4.133333333333333,1,trung
12.0,10.0,50.0,4.4,7.6,1899.0,0.25,0,0,0,0,1,0,11.306666666666668,0,can cao cap
12.0,10.0,50.0,4.4,7.6,1719.0,0.5,0,0,0,0,1,0,11.306666666666668,0,can cao cap
